"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHBI-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-11:00am","Tue, Thu","90","52","0","Axel Schonthal, Wei Li, Qilong Ying, Bangyan Stiles, Chengyu Liang, Robert Chow, Ralf Langen, Austin Mircheff, Reymundo Dominguez, Curtis Okamoto, Yves Declerck, Steve Swenson, Randall Widelitz, Cheng-Ming Chuong, Tai-Lan Tuan, Pinghui Feng, Amir Goldkorn","MCH256"
"PHBI-550","Seminar in Advanced Cellular, Molecular and Systemic Physiology","M","1.0 units, max 12","Lecture","40953D","046","TBA","TBA","30","0","0","","OFFICE"
"PHBI-561","Molecular Biology","","4.0 units","Lecture","40664R","046","3:00-4:50pm","Tue, Thu","85","42","0","Woojin An, Sita Reddy, Ansgar Siemer, Michael Lieber, Judd Rice, Ruchi Bajpai, Ebrahim Zandi, Robert Maxson, Stanley Tahara, Muller Fabbri, Roger Duncan, Ite Laird","MCH156"
"PHBI-571","Biochemistry","","4.0 units","Lecture","40670D","046","1:00-2:50pm","Tue, Thu","65","49","0","Vijay Kalra, Yves Declerck","MCH156"
"PHBI-572","Systems Physiology and Disease I","MC","4.0 units","Lecture","40673D","046","1:00-3:00pm","Mon, Thu","46","24","0","Herbert Meiselman, Robert Farley, Ray Matthews, E Schroeder, Harvey Kaslow, Michael Bowdish, Thomas Keens, Janos Peti Peterdi, Jang-Hyun Youn, Beiyun Zhou, John Wood, Michael Fong, Sanjeev Kumar, Laura Perin","MCH256"
"PHBI-590","Directed Research","","1.0-12.0 units","Lecture","40979D","046","TBA","TBA","15","1","0","","OFFICE"
"PHBI-594a","Master's Thesis","","2.0 units","Lecture","40980D","046","TBA","TBA","10","0","0","","OFFICE"
"PHBI-594b","Master's Thesis","P","2.0 units","Lecture","40983D","046","TBA","TBA","10","0","0","","OFFICE"
"PHBI-594z","Master's Thesis","P","0.0 units","Lecture","40986D","046","TBA","TBA","10","1","0","","OFFICE"
"PHBI-790","Research","","1.0-12.0 units","Lecture","41001D","046","TBA","TBA","25","0","0","","OFFICE"
"PHBI-794a","Doctoral Dissertation","","2.0 units","Lecture","41004D","046","TBA","TBA","10","0","0","","OFFICE"
"PHBI-794b","Doctoral Dissertation","P","2.0 units","Lecture","41007D","046","TBA","TBA","10","0","0","","OFFICE"
"PHBI-794c","Doctoral Dissertation","P","2.0 units","Lecture","41011D","046","TBA","TBA","10","0","0","","OFFICE"
"PHBI-794d","Doctoral Dissertation","P","2.0 units","Lecture","41012D","046","TBA","TBA","10","0","0","","OFFICE"
"PHBI-794z","Doctoral Dissertation","P","0.0 units","Lecture","41015D","046","TBA","TBA","10","2","0","","OFFICE"
